row_no,source_section,province,site_name,url,normalized_url,soft_match_key,candidate_source_level,candidate_platform_type,candidate_action,action_reason,xml_strict_url_dup_count,xml_name_dup_count,xml_soft_dup_count
82,省市自治区政采、公共资源平台,云南省,云南公共资源交易服务平台,https://ggzy.yn.gov.cn/homePage,https://ggzy.yn.gov.cn/homePage,ggzy.yn.gov.cn/homepage,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
83,省市自治区政采、公共资源平台,云南省,云南政府采购网,http://www.yngp.com/,http://www.yngp.com/,www.yngp.com,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
84,省市自治区政采、公共资源平台,云南省,云南政府采购云平台,https://www.zcygov.cn/,https://www.zcygov.cn/,www.zcygov.cn,地方省市,政府采购,review,云平台类入口需判断是否为主站、聚合页或交易入口,7,1,7
85,省市自治区政采、公共资源平台,陕西省,陕西公共资源交易中心,https://www.sxggzyjy.cn/,https://www.sxggzyjy.cn/,www.sxggzyjy.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
86,省市自治区政采、公共资源平台,陕西省,陕西省政府采购网,http://www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,http://www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
87,省市自治区政采、公共资源平台,陕西省,陕西省政府采购电子卖场,https://www.ccgp-shaanxi.gov.cn/gpmall-main-web/index?result=result,https://www.ccgp-shaanxi.gov.cn/gpmall-main-web/index?result=result,www.ccgp-shaanxi.gov.cn/gpmall-main-web/index?result=result,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
88,省市自治区政采、公共资源平台,甘肃省,甘肃省公共资源交易中心,https://ggzyjy.gansu.gov.cn/,https://ggzyjy.gansu.gov.cn/,ggzyjy.gansu.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
89,省市自治区政采、公共资源平台,甘肃省,甘肃政府采购网,https://www.ccgp-gansu.gov.cn/,https://www.ccgp-gansu.gov.cn/,www.ccgp-gansu.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
90,省市自治区政采、公共资源平台,甘肃省,甘肃政府采购网上商城,https://gcycloud.cn/gpmall-main-web/index,https://gcycloud.cn/gpmall-main-web/index,gcycloud.cn/gpmall-main-web/index,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,2,1,2
91,省市自治区政采、公共资源平台,青海省,青海公共资源交易网,http://www.qhggzyjy.gov.cn/ggzy/,http://www.qhggzyjy.gov.cn/ggzy/,www.qhggzyjy.gov.cn/ggzy,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
92,省市自治区政采、公共资源平台,青海省,青海政府采购网,http://www.ccgp-qinghai.gov.cn/,http://www.ccgp-qinghai.gov.cn/,www.ccgp-qinghai.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
93,省市自治区政采、公共资源平台,青海省,青海政采云,https://www.zcygov.cn/,https://www.zcygov.cn/,www.zcygov.cn,地方省市,待判定,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,7,1,7
94,省市自治区政采、公共资源平台,西藏自治区,西藏公共资源交易服务平台,https://ggzy.xizang.gov.cn/,https://ggzy.xizang.gov.cn/,ggzy.xizang.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
95,省市自治区政采、公共资源平台,西藏自治区,西藏政府采购网,http://www.ccgp-xizang.gov.cn/,http://www.ccgp-xizang.gov.cn/,www.ccgp-xizang.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
96,省市自治区政采、公共资源平台,西藏自治区,西藏自治区政府采购网上商城,http://218.206.180.154:8083/gpmall-main-web/index,http://218.206.180.154:8083/gpmall-main-web/index,218.206.180.154:8083/gpmall-main-web/index,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
97,省市自治区政采、公共资源平台,内蒙古自治区,内蒙古公共资源交易网,https://ggzyjy.nmg.gov.cn/,https://ggzyjy.nmg.gov.cn/,ggzyjy.nmg.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
